Location,State,Region
KANATAL,UTTARANCHAL,NORTH INDIA
KANCHIPURAM,TAMIL NADU,SOUTH INDIA
KANHA,MADHYA PRADESH,CENTRAL INDIA
KANPUR,UTTAR PRADESH,EAST INDIA
KANYAKUMARI,TAMIL NADU,SOUTH INDIA
KARGIL,JAMMU & KASHMIR,NORTH INDIA
KARJAT,MAHARASHTRA,WEST INDIA
KARNAL,HARYANA,NORTH INDIA
KARUR,TAMIL NADU,SOUTH INDIA
KARWAR,KARNATAKA,SOUTH INDIA
KASARGOD,KERALA,SOUTH INDIA
KASAULI,HIMACHAL PRADESH,NORTH INDIA
KASHIPUR,UTTARANCHAL,NORTH INDIA
KASHID,MAHARASHTRA,WEST INDIA
KATRA,JAMMU & KASHMIR,NORTH INDIA
KAUSANI,UTTARAKHAND,NORTH INDIA
KAZA,HIMACHAL PRADESH,NORTH INDIA
KAZIRANGA,ASSAM,EAST INDIA
KEDARNATH,UTTARANCHAL,NORTH INDIA
KHAJJIAR,HIMACHAL PRADESH,NORTH INDIA
KHAJURAHO,MADHYA PRADESH,CENTRAL INDIA
KHANDALA,MAHARASHTRA,WEST INDIA
KHIMSAR,RAJASTHAN,WEST INDIA
KOCHIN,KERALA,SOUTH INDIA
KODAIKANAL,TAMIL NADU,SOUTH INDIA
KOLHAPUR,MAHARASHTRA,WEST INDIA
KOLKATA,WEST BENGAL,EAST INDIA
KOLLAM,KERALA,SOUTH INDIA
KOTA,RAJASTHAN,WEST INDIA
KOTAGIRI,TAMIL NADU,SOUTH INDIA
KOTTAYAM,KERALA,SOUTH INDIA
KOVALAM,KERALA,SOUTH INDIA
KUFRI,HIMACHAL PRADESH,NORTH INDIA
KUMBALGARH,RAJASTHAN,WEST INDIA
KULLU,HIMACHAL PRADESH,NORTH INDIA
KUMARAKOM,KERALA,SOUTH INDIA
KUMBAKONAM,TAMIL NADU,SOUTH INDIA
KUMILY,KERALA,SOUTH INDIA
KURSEONG,WEST BENGAL,EAST INDIA
KUSHINAGAR,UTTAR PRADESH,NORTH INDIA
LACHUNG,NORTH SIKKIM,NORTH-EAST INDIA
LEH,JAMMU & KASHMIR,NORTH INDIA
LAKSHADWEEP,UNION TERRITORY OF LAKSHADWEEP,SOUTH INDIA
LONAVALA,MAHARASHTRA,WEST INDIA
LOTHAL,GUJARAT,WEST INDIA
LUCKNOW,UTTAR PRADESH,NORTH INDIA
LUDHIANA,PUNJAB,NORTH INDIA
MADURAI,TAMIL NADU,SOUTH INDIA
MAHABALESHWAR,MAHARASHTRA,WEST INDIA
MAHABALIPURAM,TAMIL NADU,SOUTH INDIA
MALAPPURAM,KERALA,SOUTH INDIA
MALPE,KARNATAKA,SOUTH INDIA
MALSHEJ GHAT,MAHARASHTRA,WEST INDIA
MALVAN,MAHARASHTRA,WEST INDIA
MANALI,HIMACHAL PRADESH,NORTH INDIA
MANDAVI,GUJARAT,WEST INDIA
MANDAWA,RAJASTHAN,WEST INDIA
MANESAR,HARYANA,NORTH INDIA
MARARRI,KERALA,SOUTH INDIA
MANDORMONI,WEST BENGAL,EAST INDIA
MANGALORE,KARNATAKA,SOUTH INDIA
MANMAD,MAHARASHTRA,WESTERN REGION
MARCHULA,UTTARANCHAL,NORTH INDIA
MATHERAN,MAHARASHTRA,WEST INDIA
MATHURA,UTTAR PRADESH,NORTH INDIA
MCLEODGANJ,HIMACHAL PRADESH,NORTH INDIA
MOHALI,PUNJAB,NORTH INDIA
MOUNT ABU,RAJASTHAN,WEST INDIA
MORADABAD,UTTAR PRADESH,NORTH INDIA
MORBI,GUJARAT,WEST INDIA
MUKTESHWAR,UTTARANCHAL,NORTH INDIA
MUMBAI,MAHARASHTRA,WEST INDIA
MUNDRA,MAHARASHTRA,WEST INDIA
MUNNAR,KERALA,SOUTH INDIA
MURUD JANJIRA,MAHARASHTRA,WEST INDIA
MUSSOORIE,UTTARANCHAL,NORTH INDIA
MYSORE,KARNATAKA,SOUTH INDIA
NADUKANI,KERALA,SOUTH INDIA
NAGAPATTINAM,TAMIL NADU,SOUTH INDIA
NAGARHOLE,KARNATAKA,SOUTH INDIA
NAGAUR FORT,RAJASTHAN,WEST INDIA
NAGOTHANE,MAHARASHTRA,WEST INDIA
NAGPUR,MAHARASHTRA,WEST INDIA
NAHAN,HIMACHAL PRADESH,NORTH INDIA
NAINITAL,UTTAR PRADESH,NORTH INDIA
NALDHERA,HIMACHAL PRADESH,NORTH INDIA
NANDED,MAHARASHTRA,WEST INDIA
NAPNE,MAHARASHTRA,WEST INDIA
NASIK,MAHARASHTRA,WEST INDIA
NAVI MUMBAI,MAHARASHTRA,WEST INDIA
NERAL,MAHARASHTRA,WEST INDIA
NEW DELHI,DELHI,NORTH INDIA
NILGIRI,TAMIL NADU,SOUTH INDIA
NOIDA,UTTAR PRADESH,NORTH INDIA
OOTY,TAMIL NADU,SOUTH INDIA
ORCHHA,MADHYA PRADESH,CENTRAL INDIA
OSIAN,RAJASTHAN,WEST INDIA
PACHMARHI,MADHYA PRADESH,CENTRAL INDIA
PALAMPUR,HIMACHAL PRADESH,NORTH INDIA
PALANPUR,GUJARAT,WEST INDIA
PALI,RAJASTHAN,WEST INDIA
PAHALGAM,JAMMU & KASHMIR,NORTH INDIA
PALITANA,GUJARAT,WEST INDIA
PALLAKAD,KERALA,SOUTH INDIA
PANCHGANI,MAHARASHTRA,WEST INDIA
PANCHKULA,HARYANA,NORTH INDIA
PANNA,MADHYA PRADESH,CENTRAL INDIA
PANHALA,MAHARASHTRA,WEST INDIA
PANVEL,MAHARASHTRA,WEST INDIA
PANTNAGAR,UTTARANCHAL,NORTH INDIA
PARWANOO,HIMACHAL PRADESH,NORTH INDIA
PATIALA,PUNJAB,NORTH INDIA
PATHANKOT,JAMMU & KASHMIR,NORTH INDIA
PATNA,BIHAR,EAST INDIA
PATNITOP,JAMMU & KASHMIR,NORTH INDIA
PELLING,WEST SIKKIM,EAST INDIA
PENCH,MADHYA PRADESH,WEST INDIA
PHAGWARA,PUNJAB,NORTH INDIA
PHALODI,RAJASTHAN,WEST INDIA
PINJORE,HARYANA,NORTH INDIA
PONDICHERRY,TAMIL NADU,SOUTH INDIA
POOVAR,KERALA,SOUTH INDIA
PORBANDAR,GUJARAT,WEST INDIA
PORT BLAIR,ANDAMAN & NICOBAR ISLANDS,SOUTH INDIA
POSHINA,GUJARAT,WEST INDIA
PRAGPUR,HIMACHAL PRADESH,NORTH INDIA
PUNE,MAHARASHTRA,WEST INDIA
PURI,ORISSA,EAST INDIA
PUSKHAR,RAJASTHAN,WEST INDIA
PUTTAPARTHI,ANDHRA PRADESH,SOUTH INDIA
RAI BAREILLY,UTTAR PRADESH,NORTH INDIA
RAICHAK,WEST BENGAL,EAST INDIA
RAIPUR,CHHATTISGARH,CENTRAL INDIA
RAJASTHAN,RAJASTHAN,WEST INDIA
RAJGIR,BIHAR,EAST INDIA
RAJKOT,GUJARAT,WEST INDIA
RAJPIPLA,GUJARAT,WEST INDIA
RAJSAMAND,RAJASTHAN,WEST INDIA
RAJAHMUNDRY,ANDHRA PRADESH,SOUTH INDIA
RAMESHWARAM,TAMIL NADU,SOUTH INDIA
RAM NAGAR,UTTAR PRADESH,NORTH INDIA
RAMGARH,RAJASTHAN,WEST INDIA
RANAKPUR,RAJASTHAN,WEST INDIA
RANCHI,JHARKHAND,EAST INDIA
RANIKHET,UTTARANCHAL,NORTH INDIA
RANNY,KERALA,SOUTH INDIA
RANTHAMBORE,RAJASTHAN,WEST INDIA
RATNAGIRI,MAHARASHTRA,WEST INDIA
RAVANGLA,SIKKIM,EAST INDIA
RISHIKESH,UTTAR PRADESH,NORTH INDIA
RISHYAP,WEST BENGAL,EAST INDIA
ROHETGARH,RAJASTHAN,WEST INDIA
ROURKELA,ORISSA,EAST INDIA
